,mrf_trenton_beltzvilleCombined,mrf_trenton_blueMarsh,mrf_trenton_nockamixon
1983-10-01,300.0,300.0,0.0
1983-10-02,0.0,0.0,0.0
1983-10-03,3.253210199528553,0.0,0.0
1983-10-04,35.91576379514868,0.0,0.0
1983-10-05,0.0,0.0,0.0
1983-10-06,0.0,0.0,0.0
1983-10-07,0.0,0.0,0.0
1983-10-08,0.0,0.0,0.0
1983-10-09,92.30395193894181,0.0,0.0
1983-10-10,151.31322940509338,0.0,0.0
1983-10-11,140.31963235602205,0.0,0.0
1983-10-12,0.0,0.0,0.0
1983-10-13,0.0,0.0,0.0
1983-10-14,0.0,0.0,0.0
1983-10-15,0.0,0.0,0.0
1983-10-16,24.330145604781407,0.0,0.0
1983-10-17,167.5232959551867,0.0,0.0
1983-10-18,49.060980009988214,0.0,0.0
1983-10-19,0.0,0.0,0.0
1983-10-20,0.0,0.0,0.0
1983-10-21,32.85971340284918,0.0,0.0
1983-10-22,104.16318367685089,0.0,0.0
1983-10-23,0.0,0.0,0.0
1983-10-24,0.0,0.0,0.0
1983-10-25,0.0,0.0,0.0
1983-10-26,0.0,0.0,0.0
1983-10-27,0.0,0.0,0.0
1983-10-28,0.0,0.0,0.0
1983-10-29,0.0,0.0,0.0
1983-10-30,68.70937987104217,0.0,0.0
1983-10-31,59.287814606289984,0.0,0.0
1983-11-01,42.50043245900042,0.0,0.0
1983-11-02,30.156157920917167,0.0,0.0
1983-11-03,58.88421116317933,0.0,0.0
1983-11-04,0.0,0.0,0.0
1983-11-05,0.0,0.0,0.0
1983-11-06,16.161239091140274,0.0,0.0
1983-11-07,0.0,0.0,0.0
1983-11-08,0.0,0.0,0.0
1983-11-09,0.0,0.0,0.0
1983-11-10,0.0,0.0,0.0
1983-11-11,0.0,0.0,0.0
1983-11-12,0.0,0.0,0.0
1983-11-13,0.0,0.0,0.0
1983-11-14,0.0,0.0,0.0
1983-11-15,0.0,0.0,0.0
1983-11-16,0.0,0.0,0.0
1983-11-17,0.0,0.0,0.0
1983-11-18,0.0,0.0,0.0
1983-11-19,0.0,0.0,0.0
1983-11-20,0.0,0.0,0.0
1983-11-21,0.0,0.0,0.0
1983-11-22,0.0,0.0,0.0
1983-11-23,0.0,0.0,0.0
1983-11-24,0.0,0.0,0.0
1983-11-25,0.0,0.0,0.0
1983-11-26,0.0,0.0,0.0
1983-11-27,0.0,0.0,0.0
1983-11-28,0.0,0.0,0.0
1983-11-29,0.0,0.0,0.0
1983-11-30,0.0,0.0,0.0
1983-12-01,0.0,0.0,0.0
1983-12-02,0.0,0.0,0.0
1983-12-03,0.0,0.0,0.0
1983-12-04,0.0,0.0,0.0
1983-12-05,0.0,0.0,0.0
1983-12-06,0.0,0.0,0.0
1983-12-07,0.0,0.0,0.0
1983-12-08,0.0,0.0,0.0
1983-12-09,0.0,0.0,0.0
1983-12-10,0.0,0.0,0.0
1983-12-11,0.0,0.0,0.0
1983-12-12,0.0,0.0,0.0
1983-12-13,0.0,0.0,0.0
1983-12-14,0.0,0.0,0.0
1983-12-15,0.0,0.0,0.0
1983-12-16,0.0,0.0,0.0
1983-12-17,0.0,0.0,0.0
1983-12-18,0.0,0.0,0.0
1983-12-19,0.0,0.0,0.0
1983-12-20,0.0,0.0,0.0
1983-12-21,0.0,0.0,0.0
1983-12-22,0.0,0.0,0.0
1983-12-23,0.0,0.0,0.0
1983-12-24,0.0,0.0,0.0
1983-12-25,0.0,0.0,0.0
1983-12-26,0.0,0.0,0.0
1983-12-27,0.0,0.0,0.0
1983-12-28,0.0,0.0,0.0
1983-12-29,0.0,0.0,0.0
1983-12-30,0.0,0.0,0.0
1983-12-31,0.0,0.0,0.0
1984-01-01,0.0,0.0,0.0
1984-01-02,0.0,0.0,0.0
1984-01-03,0.0,0.0,0.0
1984-01-04,0.0,0.0,0.0
1984-01-05,0.0,0.0,0.0
1984-01-06,0.0,0.0,0.0
1984-01-07,0.0,0.0,0.0
1984-01-08,0.0,0.0,0.0
1984-01-09,0.0,0.0,0.0
1984-01-10,0.0,0.0,0.0
1984-01-11,0.0,0.0,0.0
1984-01-12,0.0,0.0,0.0
1984-01-13,0.0,0.0,0.0
1984-01-14,0.0,0.0,0.0
1984-01-15,0.0,0.0,0.0
1984-01-16,0.0,0.0,0.0
1984-01-17,0.0,0.0,0.0
1984-01-18,0.0,0.0,0.0
1984-01-19,0.0,0.0,0.0
1984-01-20,0.0,0.0,0.0
1984-01-21,0.0,0.0,0.0
1984-01-22,0.0,0.0,0.0
1984-01-23,0.0,0.0,0.0
1984-01-24,0.0,0.0,0.0
1984-01-25,0.0,0.0,0.0
1984-01-26,0.0,0.0,0.0
1984-01-27,0.0,0.0,0.0
1984-01-28,0.0,0.0,0.0
1984-01-29,0.0,0.0,0.0
1984-01-30,0.0,0.0,0.0
1984-01-31,0.0,0.0,0.0
1984-02-01,0.0,0.0,0.0
1984-02-02,0.0,0.0,0.0
1984-02-03,0.0,0.0,0.0
1984-02-04,0.0,0.0,0.0
1984-02-05,0.0,0.0,0.0
1984-02-06,0.0,0.0,0.0
1984-02-07,0.0,0.0,0.0
1984-02-08,0.0,0.0,0.0
1984-02-09,0.0,0.0,0.0
1984-02-10,0.0,0.0,0.0
1984-02-11,0.0,0.0,0.0
1984-02-12,0.0,0.0,0.0
1984-02-13,0.0,0.0,0.0
1984-02-14,0.0,0.0,0.0
1984-02-15,0.0,0.0,0.0
1984-02-16,0.0,0.0,0.0
1984-02-17,0.0,0.0,0.0
1984-02-18,0.0,0.0,0.0
1984-02-19,0.0,0.0,0.0
1984-02-20,0.0,0.0,0.0
1984-02-21,0.0,0.0,0.0
1984-02-22,0.0,0.0,0.0
1984-02-23,0.0,0.0,0.0
1984-02-24,0.0,0.0,0.0
1984-02-25,0.0,0.0,0.0
1984-02-26,0.0,0.0,0.0
1984-02-27,0.0,0.0,0.0
1984-02-28,0.0,0.0,0.0
1984-02-29,0.0,0.0,0.0
1984-03-01,0.0,0.0,0.0
1984-03-02,0.0,0.0,0.0
1984-03-03,0.0,0.0,0.0
1984-03-04,0.0,0.0,0.0
1984-03-05,0.0,0.0,0.0
1984-03-06,0.0,0.0,0.0
1984-03-07,0.0,0.0,0.0
1984-03-08,0.0,0.0,0.0
1984-03-09,0.0,0.0,0.0
1984-03-10,0.0,0.0,0.0
1984-03-11,0.0,0.0,0.0
1984-03-12,0.0,0.0,0.0
1984-03-13,0.0,0.0,0.0
1984-03-14,0.0,0.0,0.0
1984-03-15,0.0,0.0,0.0
1984-03-16,0.0,0.0,0.0
1984-03-17,0.0,0.0,0.0
1984-03-18,0.0,0.0,0.0
1984-03-19,0.0,0.0,0.0
1984-03-20,0.0,0.0,0.0
1984-03-21,0.0,0.0,0.0
1984-03-22,0.0,0.0,0.0
1984-03-23,0.0,0.0,0.0
1984-03-24,0.0,0.0,0.0
1984-03-25,0.0,0.0,0.0
1984-03-26,0.0,0.0,0.0
1984-03-27,0.0,0.0,0.0
1984-03-28,0.0,0.0,0.0
1984-03-29,0.0,0.0,0.0
1984-03-30,0.0,0.0,0.0
1984-03-31,0.0,0.0,0.0
1984-04-01,0.0,0.0,0.0
1984-04-02,0.0,0.0,0.0
1984-04-03,0.0,0.0,0.0
1984-04-04,0.0,0.0,0.0
1984-04-05,0.0,0.0,0.0
1984-04-06,0.0,0.0,0.0
1984-04-07,0.0,0.0,0.0
1984-04-08,0.0,0.0,0.0
1984-04-09,0.0,0.0,0.0
1984-04-10,0.0,0.0,0.0
1984-04-11,0.0,0.0,0.0
1984-04-12,0.0,0.0,0.0
1984-04-13,0.0,0.0,0.0
1984-04-14,0.0,0.0,0.0
1984-04-15,0.0,0.0,0.0
1984-04-16,0.0,0.0,0.0
1984-04-17,0.0,0.0,0.0
1984-04-18,0.0,0.0,0.0
1984-04-19,0.0,0.0,0.0
1984-04-20,0.0,0.0,0.0
1984-04-21,0.0,0.0,0.0
1984-04-22,0.0,0.0,0.0
